date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2018-11-12,SIGNAL,C,282.0,2018-12-14,0.0,75668.287413,100.0,,,,,,
2018-11-13,SELL_CALL,C,282.0,2018-12-14,376.695377,76044.98279,100.0,3.773454,0.65,2018-11-12,3.783454,4.181712,
2018-12-14,EXPIRED,C,282.0,2018-12-14,0.0,76044.98279,100.0,,,,,,
2018-12-17,SIGNAL,C,267.0,2019-01-18,0.0,76044.98279,100.0,,,,,,
2018-12-18,SELL_CALL,C,267.0,2019-01-18,406.775557,76451.758347,100.0,4.074256,0.65,2018-12-17,4.084256,4.514177,
2018-12-21,DIVIDEND,,,,143.5,76595.258347,100.0,,,,,,
2019-01-18,EXPIRED,C,267.0,2019-01-18,0.0,76595.258347,100.0,,,,,,
2019-01-22,SIGNAL,C,272.0,2019-02-22,0.0,76595.258347,100.0,,,,,,
2019-01-23,SELL_CALL,C,272.0,2019-02-22,394.42328,76989.681627,100.0,3.950733,0.65,2019-01-22,3.960733,4.377652,
2019-02-22,CALL_ASSIGNED,C,272.0,2019-02-22,27200.0,104189.681627,0.0,,,,,,
2019-02-25,SIGNAL,P,273.0,2019-03-29,0.0,104189.681627,0.0,,,,,,
2019-02-26,SELL_PUT,P,273.0,2019-03-29,284.429598,104474.111225,0.0,2.850796,0.65,2019-02-25,2.860796,3.161932,
2019-03-29,EXPIRED,P,273.0,2019-03-29,0.0,104474.111225,0.0,,,,,,
2019-04-01,SIGNAL,P,279.0,2019-05-03,0.0,104474.111225,0.0,,,,,,
2019-04-02,SELL_PUT,P,279.0,2019-05-03,228.559756,104702.670982,0.0,2.292098,0.65,2019-04-01,2.302098,2.544424,
2019-05-03,EXPIRED,P,279.0,2019-05-03,0.0,104702.670982,0.0,,,,,,
2019-05-06,SIGNAL,P,286.0,2019-06-07,0.0,104702.670982,0.0,,,,,,
2019-05-07,SELL_PUT,P,286.0,2019-06-07,484.88574,105187.556722,0.0,4.855357,0.65,2019-05-06,4.865357,5.3775,
2019-06-07,EXPIRED,P,286.0,2019-06-07,0.0,105187.556722,0.0,,,,,,
2019-06-10,SIGNAL,P,281.0,2019-07-12,0.0,105187.556722,0.0,,,,,,
2019-06-11,SELL_PUT,P,281.0,2019-07-12,289.010531,105476.567253,0.0,2.896605,0.65,2019-06-10,2.906605,3.212564,
2019-07-12,EXPIRED,P,281.0,2019-07-12,0.0,105476.567253,0.0,,,,,,
2019-07-15,SIGNAL,P,294.0,2019-08-16,0.0,105476.567253,0.0,,,,,,
2019-07-16,SELL_PUT,P,294.0,2019-08-16,260.151357,105736.71861,0.0,2.608014,0.65,2019-07-15,2.618014,2.893594,
2019-08-16,PUT_ASSIGNED,P,294.0,2019-08-16,-29400.0,76336.71861,100.0,,,,,,
2019-08-19,SIGNAL,C,303.0,2019-09-20,0.0,76336.71861,100.0,,,,,,
2019-08-20,SELL_CALL,C,303.0,2019-09-20,226.997421,76563.716031,100.0,2.276474,0.65,2019-08-19,2.286474,2.527156,
2019-09-20,DIVIDEND,,,,138.4,76702.116031,100.0,,,,,,
2019-09-20,EXPIRED,C,303.0,2019-09-20,0.0,76702.116031,100.0,,,,,,
2019-09-23,SIGNAL,C,307.0,2019-10-25,0.0,76702.116031,100.0,,,,,,
2019-09-24,SELL_CALL,C,307.0,2019-10-25,215.065141,76917.181173,100.0,2.157151,0.65,2019-09-23,2.167151,2.395273,
2019-10-25,EXPIRED,C,307.0,2019-10-25,0.0,76917.181173,100.0,,,,,,
2019-10-28,SIGNAL,C,311.0,2019-11-29,0.0,76917.181173,100.0,,,,,,
2019-10-29,SELL_CALL,C,311.0,2019-11-29,249.701741,77166.882914,100.0,2.503517,0.65,2019-10-28,2.513517,2.778098,
2019-11-29,CALL_ASSIGNED,C,311.0,2019-11-29,31100.0,108266.882914,0.0,,,,,,
2019-12-02,SIGNAL,P,305.0,2020-01-03,0.0,108266.882914,0.0,,,,,,
2019-12-03,SELL_PUT,P,305.0,2020-01-03,401.070012,108667.952925,0.0,4.0172,0.65,2019-12-02,4.0272,4.451116,
2020-01-03,EXPIRED,P,305.0,2020-01-03,0.0,108667.952925,0.0,,,,,,
2020-01-06,SIGNAL,P,316.0,2020-02-07,0.0,108667.952925,0.0,,,,,,
2020-01-07,SELL_PUT,P,316.0,2020-02-07,308.188951,108976.141877,0.0,3.08839,0.65,2020-01-06,3.09839,3.424536,
2020-02-07,EXPIRED,P,316.0,2020-02-07,0.0,108976.141877,0.0,,,,,,
2020-02-10,SIGNAL,P,326.0,2020-03-13,0.0,108976.141877,0.0,,,,,,
2020-02-11,SELL_PUT,P,326.0,2020-03-13,297.831692,109273.973569,0.0,2.984817,0.65,2020-02-10,2.994817,3.310061,
2020-03-13,PUT_ASSIGNED,P,326.0,2020-03-13,-32600.0,76673.973569,100.0,,,,,,
2020-03-16,SIGNAL,C,273.0,2020-04-17,0.0,76673.973569,100.0,,,,,,
2020-03-17,SELL_CALL,C,273.0,2020-04-17,2015.936025,78689.909594,100.0,20.16586,0.65,2020-03-16,20.17586,22.299635,
2020-03-20,DIVIDEND,,,,140.6,78830.509594,100.0,,,,,,
2020-04-17,CALL_ASSIGNED,C,273.0,2020-04-17,27300.0,106130.509594,0.0,,,,,,
2020-04-20,SIGNAL,P,265.0,2020-05-22,0.0,106130.509594,0.0,,,,,,
2020-04-21,SELL_PUT,P,265.0,2020-05-22,1196.052933,107326.562527,0.0,11.967029,0.65,2020-04-20,11.977029,13.237769,
2020-05-22,EXPIRED,P,265.0,2020-05-22,0.0,107326.562527,0.0,,,,,,
2020-05-26,SIGNAL,P,286.0,2020-06-26,0.0,107326.562527,0.0,,,,,,
2020-05-27,SELL_PUT,P,286.0,2020-06-26,432.913234,107759.475761,0.0,4.335632,0.65,2020-05-26,4.345632,4.803067,
