date,equity,cash,shares,spot,option_liability,collateral,available_cash,state,buy_hold,buy_hold_100
2018-03-13,100826.093411,101230.514758,0.0,276.720001,404.421347,27200.0,74030.514758,SHORT_PUT,102957.404541,100795.001221
2018-03-14,100757.529995,101230.514758,0.0,275.299988,472.984762,27200.0,74030.514758,SHORT_PUT,102429.159546,100652.999878
2018-03-15,100721.681566,101230.514758,0.0,275.0,508.833191,27200.0,74030.514758,SHORT_PUT,102317.564087,100623.001099
2018-03-16,100721.613418,101230.514758,0.0,274.200012,508.90134,27200.0,74030.514758,SHORT_PUT,102428.052628,100652.702319
2018-03-19,100594.058815,101230.514758,0.0,270.48999,636.455943,27200.0,74030.514758,SHORT_PUT,101047.924454,100281.700122
2018-03-20,100521.392046,101230.514758,0.0,270.950012,709.122712,27200.0,74030.514758,SHORT_PUT,101219.052628,100327.702319
2018-03-21,100534.555718,101230.514758,0.0,270.429993,695.95904,27200.0,74030.514758,SHORT_PUT,101025.605362,100275.700366
2018-03-22,100119.007352,101230.514758,0.0,263.670013,1111.507405,27200.0,74030.514758,SHORT_PUT,98510.893082,99599.702441
2018-03-23,99551.459263,101230.514758,0.0,258.049988,1679.055495,27200.0,74030.514758,SHORT_PUT,96420.243546,99037.699878
2018-03-26,100079.669809,101230.514758,0.0,265.109985,1150.844949,27200.0,74030.514758,SHORT_PUT,99046.562638,99743.699634
2018-03-27,99859.443055,101230.514758,0.0,260.600006,1371.071703,27200.0,74030.514758,SHORT_PUT,97368.850357,99292.701709
2018-03-28,99778.759903,101230.514758,0.0,259.829987,1451.754854,27200.0,74030.514758,SHORT_PUT,97082.403092,99215.699756
2018-03-29,100045.955644,101230.514758,0.0,263.149994,1184.559114,27200.0,74030.514758,SHORT_PUT,98317.445816,99547.700488
2018-04-02,99664.281263,101230.514758,0.0,257.470001,1566.233495,27200.0,74030.514758,SHORT_PUT,96204.488541,98979.701221
2018-04-03,99927.118225,101230.514758,0.0,260.769989,1303.396533,27200.0,74030.514758,SHORT_PUT,97432.084,99309.7
2018-04-04,100215.033732,101230.514758,0.0,263.559998,1015.481026,27200.0,74030.514758,SHORT_PUT,98469.967179,99588.700854
2018-04-05,100415.777517,101230.514758,0.0,265.640015,814.737241,27200.0,74030.514758,SHORT_PUT,99243.733536,99796.702563
2018-04-06,99919.837181,101230.514758,0.0,259.720001,1310.677577,27200.0,74030.514758,SHORT_PUT,97041.488541,99204.701221
2018-04-09,100058.361231,101230.514758,0.0,261.0,1172.153527,27200.0,74030.514758,SHORT_PUT,97517.648087,99332.701099
2018-04-10,100465.725353,101230.514758,0.0,265.149994,764.789404,27200.0,74030.514758,SHORT_PUT,99061.445816,99747.700488
2018-04-11,100357.605075,101230.514758,0.0,263.76001,872.909683,27200.0,74030.514758,SHORT_PUT,98544.37172,99608.702075
2018-04-12,100588.613755,101230.514758,0.0,265.929993,641.901003,27200.0,74030.514758,SHORT_PUT,99351.605362,99825.700366
2018-04-13,100545.514147,74030.514758,100.0,265.149994,0.0,0.0,74030.514758,STOCK,99061.445816,99747.700488
2018-04-16,100763.513415,74030.514758,100.0,267.329987,0.0,0.0,74030.514758,STOCK,99872.403092,99965.699756
2018-04-17,101012.114756,74368.492095,100.0,270.190002,375.377584,0.0,74368.492095,COVERED_CALL,100936.328995,100251.701343
2018-04-18,101081.896036,74368.492095,100.0,270.390015,325.597524,0.0,74368.492095,COVERED_CALL,101010.733536,100271.702563
2018-04-19,100979.479889,74368.492095,100.0,268.890015,278.013672,0.0,74368.492095,COVERED_CALL,100452.733536,100121.702563
2018-04-20,100814.945893,74368.492095,100.0,266.609985,214.544738,0.0,74368.492095,COVERED_CALL,99604.562638,99893.699634
2018-04-23,100812.980766,74368.492095,100.0,266.570007,212.512062,0.0,74368.492095,COVERED_CALL,99589.690812,99889.701831
2018-04-24,100551.919259,74368.492095,100.0,262.980011,114.573936,0.0,74368.492095,COVERED_CALL,98254.212174,99530.702197
2018-04-25,100576.51935,74368.492095,100.0,263.630005,154.973234,0.0,74368.492095,COVERED_CALL,98496.009903,99595.701587
2018-04-26,100798.278134,74368.492095,100.0,266.309998,201.213717,0.0,74368.492095,COVERED_CALL,99492.967179,99863.700854
2018-04-27,100866.508533,74368.492095,100.0,266.559998,157.983318,0.0,74368.492095,COVERED_CALL,99585.967179,99888.700854
2018-04-30,100740.991525,74368.492095,100.0,264.51001,78.501547,0.0,74368.492095,COVERED_CALL,98823.37172,99683.702075
2018-05-01,100779.876411,74368.492095,100.0,264.980011,86.616783,0.0,74368.492095,COVERED_CALL,98998.212174,99730.702197
2018-05-02,100638.319992,74368.492095,100.0,263.200012,50.173324,0.0,74368.492095,COVERED_CALL,98336.052628,99552.702319
2018-05-03,100586.512531,74368.492095,100.0,262.619995,43.979076,0.0,74368.492095,COVERED_CALL,98120.286271,99494.70061
2018-05-04,100893.137954,74368.492095,100.0,266.019989,77.353043,0.0,74368.492095,COVERED_CALL,99385.084,99834.7
2018-05-07,101010.564886,74368.492095,100.0,266.920013,49.928552,0.0,74368.492095,COVERED_CALL,99719.893082,99924.702441
2018-05-08,101018.584186,74368.492095,100.0,266.920013,41.909252,0.0,74368.492095,COVERED_CALL,99719.893082,99924.702441
2018-05-09,101249.698331,74368.492095,100.0,269.5,68.793765,0.0,74368.492095,COVERED_CALL,100679.648087,100182.701099
2018-05-10,101480.402687,74368.492095,100.0,272.019989,90.08831,0.0,74368.492095,COVERED_CALL,101617.084,100434.7
2018-05-11,101559.121897,74368.492095,100.0,272.850006,94.370808,0.0,74368.492095,COVERED_CALL,101925.850357,100517.701709
2018-05-14,101621.39273,74368.492095,100.0,272.980011,45.100464,0.0,74368.492095,COVERED_CALL,101974.212174,100530.702197
2018-05-15,101466.787646,74368.492095,100.0,271.100006,11.70506,0.0,74368.492095,COVERED_CALL,101274.850357,100342.701709
2018-05-16,101576.213152,74368.492095,100.0,272.23999,16.277967,0.0,74368.492095,COVERED_CALL,101698.924454,100456.700122
2018-05-17,101567.200689,74368.492095,100.0,272.01001,2.292383,0.0,74368.492095,COVERED_CALL,101613.37172,100433.702075
2018-05-18,101501.490753,74368.492095,100.0,271.329987,0.0,0.0,74368.492095,STOCK,101360.403092,100365.699756
2018-05-21,101705.491607,74368.492095,100.0,273.369995,0.0,0.0,74368.492095,STOCK,102119.286271,100569.70061
2018-05-22,101607.88546,74556.416212,100.0,272.609985,209.529287,0.0,74556.416212,COVERED_CALL,101836.562638,100493.699634
2018-05-23,101663.833677,74556.416212,100.0,273.359985,228.58107,0.0,74556.416212,COVERED_CALL,102115.562638,100568.699634
2018-05-24,101651.888697,74556.416212,100.0,272.799988,184.526294,0.0,74556.416212,COVERED_CALL,101907.243546,100512.699878
2018-05-25,101612.023611,74556.416212,100.0,272.149994,159.391991,0.0,74556.416212,COVERED_CALL,101665.445816,100447.700488
2018-05-29,101369.939081,74556.416212,100.0,269.019989,88.476033,0.0,74556.416212,COVERED_CALL,100501.084,100134.7
2018-05-30,101556.842838,74556.416212,100.0,272.609985,260.57191,0.0,74556.416212,COVERED_CALL,101836.562638,100493.699634
2018-05-31,101500.492152,74556.416212,100.0,270.940002,149.924305,0.0,74556.416212,COVERED_CALL,101215.328995,100326.701343
2018-06-01,101693.392773,74556.416212,100.0,273.600006,223.024049,0.0,74556.416212,COVERED_CALL,102204.850357,100592.701709
2018-06-04,101868.665683,74556.416212,100.0,274.899994,177.749919,0.0,74556.416212,COVERED_CALL,102688.445816,100722.700488
2018-06-05,101910.84326,74556.416212,100.0,275.100006,155.573562,0.0,74556.416212,COVERED_CALL,102762.850357,100742.701709
2018-06-06,102085.1049,74556.416212,100.0,277.399994,211.310702,0.0,74556.416212,COVERED_CALL,103618.445816,100972.700488
2018-06-07,102113.823387,74556.416212,100.0,277.369995,179.592337,0.0,74556.416212,COVERED_CALL,103607.286271,100969.70061
2018-06-08,102163.608233,74556.416212,100.0,278.190002,211.808223,0.0,74556.416212,COVERED_CALL,103912.328995,101051.701343
2018-06-11,102221.820537,74556.416212,100.0,278.559998,190.595431,0.0,74556.416212,COVERED_CALL,104049.967179,101088.700854
2018-06-12,102253.113774,74556.416212,100.0,278.920013,195.303781,0.0,74556.416212,COVERED_CALL,104183.893082,101124.702441
2018-06-13,102212.275422,74556.416212,100.0,278.029999,147.140668,0.0,74556.416212,COVERED_CALL,103852.807633,101035.700977
2018-06-14,102259.649422,74556.416212,100.0,278.730011,169.767889,0.0,74556.416212,COVERED_CALL,104113.212174,101105.702197
2018-06-15,102306.343824,74681.016212,100.0,277.130005,87.672876,0.0,74681.016212,COVERED_CALL,103981.521903,101070.301587
2018-06-18,102303.850342,74681.016212,100.0,276.559998,33.165626,0.0,74681.016212,COVERED_CALL,103769.479179,101013.300854
2018-06-19,102218.290758,74681.016212,100.0,275.5,12.725454,0.0,74681.016212,COVERED_CALL,103375.160087,100907.301099
2018-06-20,102267.720786,74681.016212,100.0,275.970001,10.295549,0.0,74681.016212,COVERED_CALL,103550.000541,100954.301221
2018-06-21,102103.937807,74681.016212,100.0,274.23999,1.077428,0.0,74681.016212,COVERED_CALL,102906.436454,100781.300122
2018-06-22,102155.015236,74681.016212,100.0,274.73999,0.0,0.0,74681.016212,STOCK,103092.436454,100831.300122
2018-06-25,101781.016212,74681.016212,100.0,271.0,0.0,0.0,74681.016212,STOCK,101701.160087,100457.301099
2018-06-26,101802.535165,75029.266954,100.0,271.600006,386.732399,0.0,75029.266954,COVERED_CALL,101924.362357,100517.301709
2018-06-27,101709.522857,75029.266954,100.0,269.350006,254.744707,0.0,75029.266954,COVERED_CALL,101087.362357,100292.301709
2018-06-28,101757.581014,75029.266954,100.0,270.890015,360.687404,0.0,75029.266954,COVERED_CALL,101660.245536,100446.302563
2018-06-29,101830.335801,75029.266954,100.0,271.279999,326.931031,0.0,75029.266954,COVERED_CALL,101805.319633,100485.300977
2018-07-02,101925.407808,75029.266954,100.0,271.859985,289.857681,0.0,75029.266954,COVERED_CALL,102021.074638,100543.299634
