date,action,right,strike,expiry,cash_flow,cash_after,shares_after,fill_price,commission,signal_date,bid,ask,reason
2019-01-22,SIGNAL,C,282.0,2019-02-22,0.0,75294.282327,100.0,,,,,,
2019-01-23,SELL_CALL,C,282.0,2019-02-22,98.12945,75392.411777,100.0,0.987795,0.65,2019-01-22,0.997795,1.102826,
2019-02-22,EXPIRED,C,282.0,2019-02-22,0.0,75392.411777,100.0,,,,,,
2019-02-25,SIGNAL,C,286.0,2019-03-29,0.0,75392.411777,100.0,,,,,,
2019-02-26,SELL_CALL,C,286.0,2019-03-29,219.564101,75611.975877,100.0,2.202141,0.65,2019-02-25,2.212141,2.444998,
2019-03-15,DIVIDEND,,,,123.3,75735.275877,100.0,,,,,,
2019-03-29,EXPIRED,C,286.0,2019-03-29,0.0,75735.275877,100.0,,,,,,
2019-04-01,SIGNAL,C,293.0,2019-05-03,0.0,75735.275877,100.0,,,,,,
2019-04-02,SELL_CALL,C,293.0,2019-05-03,180.128916,75915.404794,100.0,1.807789,0.65,2019-04-01,1.817789,2.009135,
2019-05-03,CALL_ASSIGNED,C,293.0,2019-05-03,29300.0,105215.404794,0.0,,,,,,
2019-05-06,SIGNAL,P,288.0,2019-06-07,0.0,105215.404794,0.0,,,,,,
2019-05-07,SELL_PUT,P,288.0,2019-06-07,477.74162,105693.146413,0.0,4.783916,0.65,2019-05-06,4.793916,5.298539,
2019-06-07,PUT_ASSIGNED,P,288.0,2019-06-07,-28800.0,76893.146413,100.0,,,,,,
2019-06-10,SIGNAL,C,297.0,2019-07-12,0.0,76893.146413,100.0,,,,,,
2019-06-11,SELL_CALL,C,297.0,2019-07-12,225.4318,77118.578213,100.0,2.260818,0.65,2019-06-10,2.270818,2.509851,
2019-06-21,DIVIDEND,,,,143.2,77261.778213,100.0,,,,,,
2019-07-12,CALL_ASSIGNED,C,297.0,2019-07-12,29700.0,106961.778213,0.0,,,,,,
2019-07-15,SIGNAL,P,296.0,2019-08-16,0.0,106961.778213,0.0,,,,,,
2019-07-16,SELL_PUT,P,296.0,2019-08-16,249.447059,107211.225272,0.0,2.500971,0.65,2019-07-15,2.510971,2.775283,
2019-08-16,PUT_ASSIGNED,P,296.0,2019-08-16,-29600.0,77611.225272,100.0,,,,,,
2019-08-19,SIGNAL,C,302.0,2019-09-20,0.0,77611.225272,100.0,,,,,,
2019-08-20,SELL_CALL,C,302.0,2019-09-20,164.797788,77776.023059,100.0,1.654478,0.65,2019-08-19,1.664478,1.839686,
2019-09-20,DIVIDEND,,,,138.4,77914.423059,100.0,,,,,,
2019-09-20,EXPIRED,C,302.0,2019-09-20,0.0,77914.423059,100.0,,,,,,
2019-09-23,SIGNAL,C,306.0,2019-10-25,0.0,77914.423059,100.0,,,,,,
2019-09-24,SELL_CALL,C,306.0,2019-10-25,160.333135,78074.756195,100.0,1.609831,0.65,2019-09-23,1.619831,1.79034,
2019-10-25,EXPIRED,C,306.0,2019-10-25,0.0,78074.756195,100.0,,,,,,
2019-10-28,SIGNAL,C,310.0,2019-11-29,0.0,78074.756195,100.0,,,,,,
2019-10-29,SELL_CALL,C,310.0,2019-11-29,200.31977,78275.075964,100.0,2.009698,0.65,2019-10-28,2.019698,2.232297,
2019-11-29,CALL_ASSIGNED,C,310.0,2019-11-29,31000.0,109275.075964,0.0,,,,,,
2019-12-02,SIGNAL,P,306.0,2020-01-03,0.0,109275.075964,0.0,,,,,,
2019-12-03,SELL_PUT,P,306.0,2020-01-03,341.558031,109616.633996,0.0,3.42208,0.65,2019-12-02,3.43208,3.793352,
2020-01-03,EXPIRED,P,306.0,2020-01-03,0.0,109616.633996,0.0,,,,,,
2020-01-06,SIGNAL,P,317.0,2020-02-07,0.0,109616.633996,0.0,,,,,,
2020-01-07,SELL_PUT,P,317.0,2020-02-07,251.787774,109868.42177,0.0,2.524378,0.65,2020-01-06,2.534378,2.801154,
2020-02-07,EXPIRED,P,317.0,2020-02-07,0.0,109868.42177,0.0,,,,,,
2020-02-10,SIGNAL,P,327.0,2020-03-13,0.0,109868.42177,0.0,,,,,,
2020-02-11,SELL_PUT,P,327.0,2020-03-13,232.397967,110100.819737,0.0,2.33048,0.65,2020-02-10,2.34048,2.586846,
2020-03-13,PUT_ASSIGNED,P,327.0,2020-03-13,-32700.0,77400.819737,100.0,,,,,,
2020-03-16,SIGNAL,C,327.0,2020-04-17,0.0,77400.819737,100.0,,,,,,
2020-03-17,SELL_CALL,C,327.0,2020-04-17,480.002238,77880.821975,100.0,4.806522,0.65,2020-03-16,4.816522,5.323525,
2020-03-20,DIVIDEND,,,,140.6,78021.421975,100.0,,,,,,
2020-04-17,EXPIRED,C,327.0,2020-04-17,0.0,78021.421975,100.0,,,,,,
2020-04-20,SIGNAL,C,327.0,2020-05-22,0.0,78021.421975,100.0,,,,,,
2020-04-21,SELL_CALL,C,327.0,2020-05-22,129.207091,78150.629066,100.0,1.298571,0.65,2020-04-20,1.308571,1.446315,
2020-05-22,EXPIRED,C,327.0,2020-05-22,0.0,78150.629066,100.0,,,,,,
2020-05-26,SIGNAL,C,327.0,2020-06-26,0.0,78150.629066,100.0,,,,,,
2020-05-27,SELL_CALL,C,327.0,2020-06-26,231.875751,78382.504817,100.0,2.325258,0.65,2020-05-26,2.335258,2.581074,
2020-06-19,DIVIDEND,,,,136.6,78519.104817,100.0,,,,,,
2020-06-26,EXPIRED,C,327.0,2020-06-26,0.0,78519.104817,100.0,,,,,,
2020-06-29,SIGNAL,C,327.0,2020-07-31,0.0,78519.104817,100.0,,,,,,
2020-06-30,SELL_CALL,C,327.0,2020-07-31,450.692746,78969.797563,100.0,4.513427,0.65,2020-06-29,4.523427,4.999578,
2020-07-31,EXPIRED,C,327.0,2020-07-31,0.0,78969.797563,100.0,,,,,,
2020-08-03,SIGNAL,C,343.0,2020-09-04,0.0,78969.797563,100.0,,,,,,
2020-08-04,SELL_CALL,C,343.0,2020-09-04,425.242964,79395.040527,100.0,4.25893,0.65,2020-08-03,4.26893,4.718291,
2020-09-04,EXPIRED,C,343.0,2020-09-04,0.0,79395.040527,100.0,,,,,,
2020-09-08,SIGNAL,C,351.0,2020-10-09,0.0,79395.040527,100.0,,,,,,
2020-09-09,SELL_CALL,C,351.0,2020-10-09,732.753489,80127.794015,100.0,7.334035,0.65,2020-09-08,7.344035,8.117091,
2020-09-18,DIVIDEND,,,,133.9,80261.694015,100.0,,,,,,
2020-10-09,EXPIRED,C,351.0,2020-10-09,0.0,80261.694015,100.0,,,,,,
2020-10-12,SIGNAL,C,368.0,2020-11-13,0.0,80261.694015,100.0,,,,,,
2020-10-13,SELL_CALL,C,368.0,2020-11-13,374.909926,80636.603941,100.0,3.755599,0.65,2020-10-12,3.765599,4.161978,
2020-11-13,EXPIRED,C,368.0,2020-11-13,0.0,80636.603941,100.0,,,,,,
2020-11-16,SIGNAL,C,377.0,2020-12-18,0.0,80636.603941,100.0,,,,,,
2020-11-17,SELL_CALL,C,377.0,2020-12-18,347.57614,80984.180081,100.0,3.482261,0.65,2020-11-16,3.492261,3.859868,
2020-12-18,DIVIDEND,,,,158.0,81142.180081,100.0,,,,,,
2020-12-18,EXPIRED,C,377.0,2020-12-18,0.0,81142.180081,100.0,,,,,,
2020-12-21,SIGNAL,C,381.0,2021-01-22,0.0,81142.180081,100.0,,,,,,
2020-12-22,SELL_CALL,C,381.0,2021-01-22,524.828817,81667.008898,100.0,5.254788,0.65,2020-12-21,5.264788,5.818976,
2021-01-22,CALL_ASSIGNED,C,381.0,2021-01-22,38100.0,119767.008898,0.0,,,,,,
2021-01-25,SIGNAL,P,373.0,2021-02-26,0.0,119767.008898,0.0,,,,,,
2021-01-26,SELL_PUT,P,373.0,2021-02-26,523.365249,120290.374147,0.0,5.240152,0.65,2021-01-25,5.250152,5.8028,
2021-02-26,EXPIRED,P,373.0,2021-02-26,0.0,120290.374147,0.0,,,,,,
2021-03-01,SIGNAL,P,375.0,2021-04-01,0.0,120290.374147,0.0,,,,,,
2021-03-02,SELL_PUT,P,375.0,2021-04-01,497.716202,120788.090349,0.0,4.983662,0.65,2021-03-01,4.993662,5.519311,
2021-04-01,EXPIRED,P,375.0,2021-04-01,0.0,120788.090349,0.0,,,,,,
2021-04-05,SIGNAL,P,397.0,2021-05-07,0.0,120788.090349,0.0,,,,,,
2021-04-06,SELL_PUT,P,397.0,2021-05-07,415.377668,121203.468018,0.0,4.160277,0.65,2021-04-05,4.170277,4.609253,
2021-05-07,EXPIRED,P,397.0,2021-05-07,0.0,121203.468018,0.0,,,,,,
2021-05-10,SIGNAL,P,408.0,2021-06-11,0.0,121203.468018,0.0,,,,,,
2021-05-11,SELL_PUT,P,408.0,2021-06-11,604.012566,121807.480584,0.0,6.046626,0.65,2021-05-10,6.056626,6.694165,
2021-06-11,EXPIRED,P,408.0,2021-06-11,0.0,121807.480584,0.0,,,,,,
